"sample_ID,N,10,0","COUNT,N,10,0","AREA,N,19,11","MIN,N,19,11","MAX,N,19,11","RANGE,N,19,11","MEAN,N,19,11","STD,N,19,11","SUM,N,19,11"
228,1,1000000,0.598790888,0.598790888,0,0.598790888,0,0.598790888
229,1,1000000,0.570586573,0.570586573,0,0.570586573,0,0.570586573
230,1,1000000,0.70311582,0.70311582,0,0.70311582,0,0.70311582
231,1,1000000,0.742578557,0.742578557,0,0.742578557,0,0.742578557
232,1,1000000,0.433122675,0.433122675,0,0.433122675,0,0.433122675
233,1,1000000,0.263059439,0.263059439,0,0.263059439,0,0.263059439
234,1,1000000,0.604146921,0.604146921,0,0.604146921,0,0.604146921
235,1,1000000,0.789085222,0.789085222,0,0.789085222,0,0.789085222
236,1,1000000,0.789245838,0.789245838,0,0.789245838,0,0.789245838
237,1,1000000,0.55983078,0.55983078,0,0.55983078,0,0.55983078
238,1,1000000,0.716276409,0.716276409,0,0.716276409,0,0.716276409
239,1,1000000,0.659052025,0.659052025,0,0.659052025,0,0.659052025
240,1,1000000,0.728806172,0.728806172,0,0.728806172,0,0.728806172
241,1,1000000,0.596559056,0.596559056,0,0.596559056,0,0.596559056
242,1,1000000,0.539178566,0.539178566,0,0.539178566,0,0.539178566
243,1,1000000,0.730241198,0.730241198,0,0.730241198,0,0.730241198
244,1,1000000,0.396547219,0.396547219,0,0.396547219,0,0.396547219
245,1,1000000,0.752499873,0.752499873,0,0.752499873,0,0.752499873
246,1,1000000,0.745968549,0.745968549,0,0.745968549,0,0.745968549
247,1,1000000,0.72949359,0.72949359,0,0.72949359,0,0.72949359
248,1,1000000,0.174434936,0.174434936,0,0.174434936,0,0.174434936
249,1,1000000,0.695320361,0.695320361,0,0.695320361,0,0.695320361
250,1,1000000,0.705664446,0.705664446,0,0.705664446,0,0.705664446
251,1,1000000,0.248878036,0.248878036,0,0.248878036,0,0.248878036
252,1,1000000,0.205233088,0.205233088,0,0.205233088,0,0.205233088
253,1,1000000,0.203508014,0.203508014,0,0.203508014,0,0.203508014
254,1,1000000,0.088792572,0.088792572,0,0.088792572,0,0.088792572
255,1,1000000,0.745674548,0.745674548,0,0.745674548,0,0.745674548
256,1,1000000,0.764241919,0.764241919,0,0.764241919,0,0.764241919
257,1,1000000,0.268371858,0.268371858,0,0.268371858,0,0.268371858
258,1,1000000,0.69386154,0.69386154,0,0.69386154,0,0.69386154
259,1,1000000,0.759384601,0.759384601,0,0.759384601,0,0.759384601
260,1,1000000,0.088319037,0.088319037,0,0.088319037,0,0.088319037
261,1,1000000,0.716979667,0.716979667,0,0.716979667,0,0.716979667
262,1,1000000,0.419151413,0.419151413,0,0.419151413,0,0.419151413
263,1,1000000,0.349231585,0.349231585,0,0.349231585,0,0.349231585
264,1,1000000,0.4532882,0.4532882,0,0.4532882,0,0.4532882
265,1,1000000,0.709621708,0.709621708,0,0.709621708,0,0.709621708
266,1,1000000,0.685744465,0.685744465,0,0.685744465,0,0.685744465
267,1,1000000,0.594432421,0.594432421,0,0.594432421,0,0.594432421
268,1,1000000,0.391917191,0.391917191,0,0.391917191,0,0.391917191
