"SITE_id" "LONG" "LAT"
44202738 11.31968 47.74764
44162802 11.28053 48.32409
44062864 11.15863 48.88324
44022858 11.10292 48.82983
43982852 11.04764 48.77638
43982780 11.03391 48.1287
45642828 13.28913 48.51677
45602816 13.22817 48.41031
45602806 13.22256 48.32035
45522816 13.12042 48.4135
45482830 13.07371 48.54075
45442854 13.03293 48.75803
45422842 12.99965 48.65135
45422824 12.98955 48.48893
45322860 12.87301 48.81626
45322810 12.84707 48.36678
45262854 12.78837 48.7644
45222866 12.73992 48.87366
45222830 12.72155 48.55019
45222812 12.71345 48.38827
45202880 12.71949 49.0001
45202838 12.69814 48.62259
45202816 12.68841 48.42482
45182848 12.67671 48.71316
45182836 12.67061 48.60569
45162852 12.65407 48.75013
45022856 12.46297 48.78999
45022834 12.45324 48.5923
44922804 12.30541 48.32549
44882852 12.27095 48.75816
44862848 12.24216 48.72276
44842834 12.20942 48.5974
44802816 12.14801 48.43721
44762848 12.10634 48.7254
44762836 12.10182 48.61752
44682830 11.99121 48.56554
44622838 11.91272 48.63892
44582862 11.86653 48.85553
45242910 12.78942 49.26838
45142900 12.64728 49.18184
45062924 12.54884 49.40006
45022946 12.50392 49.599
44962918 12.4085 49.34917
44962896 12.39879 49.15144
44962878 12.39092 48.98963
44942872 12.36101 48.93628
44882978 12.32418 49.89071
44842934 12.25005 49.49642
44822926 12.21918 49.42504
44802946 12.19974 49.60534
44802874 12.17087 48.95811
44782914 12.15931 49.31825
44762890 12.12245 49.10301
44702878 12.03588 48.99667
44662916 11.99506 49.33932
44542962 11.84566 49.75562
44522928 11.8065 49.4504
44502938 11.78223 49.54073
44482888 11.73853 49.09164
44362908 11.5801 49.2739
44342892 11.54809 49.1304
44222902 11.38627 49.2225
44682992 12.05181 50.02116
44603022 11.95076 50.29348
44362980 11.60134 49.9212
44143010 11.30239 50.19478
44062986 11.18501 49.98023
44043010 11.16237 50.19629
44042974 11.15455 49.87265
43983014 11.07917 50.23308
43902982 10.96126 49.94642
43842966 10.87509 49.80323
43762988 10.7671 50.00182
43722964 10.70813 49.78638
44162896 11.30248 49.16952
44102884 11.21759 49.06243
44042890 11.13674 49.11734
43922872 10.96924 48.95703
43862934 10.89732 49.5153
43862872 10.88776 48.95776
43842900 10.86443 49.20973
43802888 10.80778 49.1022
43782956 10.79023 49.71391
43742920 10.72992 49.39056
43642944 10.59487 49.60719
43602944 10.5395 49.60744
43562920 10.48204 49.39187
43482918 10.37174 49.37432
43442896 10.31539 49.17635
43402934 10.26236 49.51851
43342932 10.17944 49.50069
43322934 10.15191 49.51873
43302918 10.12391 49.37489
43822998 10.85234 50.09114
43703004 10.68547 50.1462
43602992 10.54435 50.03907
43542960 10.45789 49.7517
43503006 10.40585 50.16552
43482994 10.377 50.05772
43463034 10.35173 50.41745
43443018 10.3226 50.27366
